ID,FOOD_NAME,SCIENTIFIC_NAME,GROUP,SUB_GROUP
465,Macaroni and cheese,NULL,Dishes,Pasta dishes
466,Madeira wine,NULL,Beverages,Fortified wines
467,Maitake,Grifola frondosa,Vegetables,Mushrooms
468,Malabar plum,Syzygium jambos,Fruits,Tropical fruits
469,Malabar spinach,Basella alba,Vegetables,Leaf vegetables
470,Mallard duck,Anas platyrhynchos,Animal foods,Poultry
471,Malus (Crab apple),Malus,Fruits,Pomes
472,Mamey sapote,Pouteria sapota,Fruits,Tropical fruits
473,Mammee apple,Mammea americana,Fruits,Tropical fruits
474,"Mandarin orange (Clementine, Tangerine)",Citrus reticulata,Fruits,Citrus
475,Mango,Mangifera indica,Fruits,Tropical fruits
476,Margarine,NULL,Fats and oils,Vegetable fats
477,Margarine-like spread,NULL,Fats and oils,Vegetable fats
478,Marine mussel,Mytilidae,Aquatic foods,Mollusks
479,Marshmallow,NULL,Confectioneries,Candies
480,Marzipan,NULL,Confectioneries,Other confectioneries
481,Meat bouillon,NULL,Baking goods,Baking goods
482,Meatball,NULL,Dishes,Ground meat
483,Meatloaf,NULL,Dishes,Ground meat
484,Medlar,Mespilus germanica,Fruits,Pomes
485,Mentha (Mint),Mentha,Herbs and Spices,Herbs
486,Meringue,NULL,Confectioneries,Other confectioneries
487,Mexican groundcherry,Physalis philadelphica var. immaculata,Vegetables,Fruit vegetables
488,Mexican oregano,Lippia graveolens,Herbs and Spices,Herbs
489,Milk (Cow),,Milk and milk products,Unfermented milks
490,Milk (Human),NULL,Milk and milk products,Unfermented milks
491,Milk (Other mammals),NULL,Milk and milk products,Unfermented milks
492,Milk and milk products,NULL,Milk and milk products,Milk and milk products
493,Milk substitute,NULL,Baking goods,Substitutes
494,Milkfish,Chanos chanos,Aquatic foods,Fishes
495,Milkshake,NULL,Confectioneries,Frozen desserts
496,Millet,Panicum miliaceum,Cereals and cereal products,Cereals
497,Miso,NULL,Soy,Soy products
498,Mixed nuts,NULL,Nuts,Nuts
499,Molasses,NULL,Baking goods,Baking goods
500,Mollusks,NULL,Aquatic foods,Mollusks
501,Monkfish,Lophius piscatorius,Aquatic foods,Fishes
502,Moose,Alces alces,Animal foods,Venison
503,Morchella (Morel),Morchellaceae,Vegetables,Mushrooms
504,Moth bean,Vigna aconitifolia,Pulses,Beans
505,Mountain hare,Lepus timidus,Animal foods,Lagomorphs
506,Mountain yam,Dioscorea pentaphylla,Vegetables,Tubers
507,Mugwort,Artemisia vulgaris,Herbs and Spices,Herbs
508,Mulberry,Morus,Fruits,Berries
509,Mule deer,Odocoileus,Animal foods,Venison
510,Multigrain bread,NULL,Cereals and cereal products,Leavened breads
511,Mung bean,Vigna radiata,Pulses,Beans
512,Muscadine grape,Vitis rotundifolia,Fruits,Berries
513,Mushrooms,NULL,Vegetables,Mushrooms
514,Muskmelon,Cucumis melo,Gourds,Gourds
515,Muskrat,Ondatra zibethicus,Animal foods,Rodents
516,Mustard,NULL,Baking goods,Condiments
517,Mustard spinach,Brassica perviridis,Vegetables,Cabbages
518,Nachos,NULL,Dishes,Tex-Mex cuisine
519,Nance,Byrsonima crassifolia,Fruits,Tropical fruits
520,Nanking cherry,Prunus tomentosa,Fruits,Berries
521,Napa cabbage,Brassica rapa var. pekinensis,Vegetables,Cabbages
522,Naranjilla,Solanum quitoense,Fruits,Tropical fruits
523,Narrowleaf cattail,Typha angustifolia,Vegetables,Other vegetables
524,Natal plum,Carissa macrocarpa,Fruits,Tropical fruits
525,Natto,NULL,Soy,Soy products
526,Nectarine,Prunus persica var. nucipersica,Fruits,Drupes
527,New Zealand spinach,Tetragonia tetragonioides,Vegetables,Leaf vegetables
528,Nopal,Opuntia cochenillifera,Vegetables,Other vegetables
529,North Pacific giant octopus,Enteroctopus dofleini,Aquatic foods,Mollusks
530,Northern bluefin tuna,Thunnus thynnus,Aquatic foods,Fishes
531,Northern pike,Esox lucius,Aquatic foods,Fishes
532,Norway haddock,Sebastes viviparus,Aquatic foods,Fishes
533,Norway lobster,Nephrops norvegicus,Aquatic foods,Crustaceans
534,Norway pout,Trisopterus esmarkii,Aquatic foods,Fishes
535,Nougat,NULL,Confectioneries,Other confectioneries
536,Nutmeg,Myristica fragrans,Herbs and Spices,Spices
537,Nutritional drink,NULL,Beverages,Nutritional beverages
538,Nuts,NULL,Nuts,Nuts
539,Nuttall cockle,Clinocardium nuttallii,Aquatic foods,Mollusks
540,Oat,Avena sativa,Cereals and cereal products,Cereals
541,Oat bread,,Cereals and cereal products,Leavened breads
542,Ocean pout,Zoarces americanus,Aquatic foods,Fishes
543,Ohelo berry,Vaccinium reticulatum,Fruits,Berries
544,Oil palm,Elaeis,Herbs and Spices,Oilseed crops
545,Oil-seed Camellia,Camellia oleifera,Herbs and Spices,Oilseed crops
546,Okra,Abelmoschus esculentus,Vegetables,Other vegetables
547,Olive,Olea europaea,Vegetables,Fruit vegetables
548,Onion-family vegetables,NULL,Vegetables,Onion-family vegetables
549,Opium poppy,Papaver somniferum,Herbs and Spices,Spices
550,Opossum,Didelphis virginiana,Animal foods,Marsupials
551,Orange bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
552,Orange mint,Mentha aquatica,Herbs and Spices,Herbs
553,Orange roughy,Hoplostethus atlanticus,Aquatic foods,Fishes
554,Oregon yampah,Perideridia oregana,Vegetables,Root vegetables
555,Oriental wheat,Triticum turanicum,Cereals and cereal products,Cereals
556,Ostrich,Struthio camelus,Animal foods,Poultry
557,Ostrich fern,Matteuccia struthiopteris,Vegetables,Leaf vegetables
558,Other alcoholic beverage,NULL,Beverages,Alcoholic beverages
559,Other animal fat,NULL,Fats and oils,Animal fats
560,Other beverage,NULL,Beverages,Other beverages
561,Other bread,NULL,Cereals and cereal products,Other breads
562,Other bread product,NULL,Cereals and cereal products,Bread products
563,Other candy,NULL,Confectioneries,Candies
564,Other cereal product,NULL,Cereals and cereal products,Cereal products
565,Other cocoa product,NULL,Cocoa and cocoa products,Cocoa products
566,Other dish,NULL,Dishes,Other dishes
567,Other fermented milk,NULL,Milk and milk products,Fermented milks
568,Other fish product,NULL,Aquatic foods,Fish products
569,Other frozen dessert,NULL,Confectioneries,Frozen desserts
570,Other fruit product,NULL,Fruits,Fruit products
571,Other meat product,NULL,Animal foods,Meat products
572,Other pasta dish,NULL,Dishes,Pasta dishes
573,Other sandwich,NULL,Dishes,Sandwiches
574,Other snack food,NULL,Snack foods,Snack foods
575,Other soy product,NULL,Soy,Soy products
576,Other vegetable product,NULL,Vegetables,Vegetable products
577,Other wine,NULL,Beverages,Fermented beverages
578,Oval-leaf huckleberry,Vaccinium ovalifolium,Fruits,Berries
579,Oxheart cabbage,Brassica oleracea var. conica,Vegetables,Cabbages
580,Oyster mushroom,Pleurotus ostreatus,Vegetables,Mushrooms
581,Pacific cod,Gadus macrocephalus,Aquatic foods,Fishes
582,Pacific halibut,Hippoglossus stenolepis,Aquatic foods,Fishes
583,Pacific herring,Clupea pallasii,Aquatic foods,Fishes
584,Pacific jack mackerel,Trachurus symmetricus,Aquatic foods,Fishes
585,Pacific ocean perch,Sebastes alutus,Aquatic foods,Fishes
586,Pacific oyster,Crassostrea gigas,Aquatic foods,Mollusks
587,Pacific rockfish,Sebastes,Aquatic foods,Fishes
588,Pacific salmon,Oncorhynchus,Aquatic foods,Fishes
589,Pacific sardine,Sardinops sagax,Aquatic foods,Fishes
590,Painted comber,Serranus scriba,Aquatic foods,Fishes
591,Pak choy,Brassica rapa var. chinensis,Vegetables,Cabbages
592,Pan dulce,NULL,Cereals and cereal products,Leavened breads
593,Pancake,NULL,Dishes,Other dishes
594,Papaya,Carica papaya,Fruits,Tropical fruits
595,Parsley,Petroselinum crispum,Herbs and Spices,Herbs
596,Parsnip,Pastinaca sativa,Vegetables,Root vegetables
597,Passion fruit,Passiflora edulis,Fruits,Tropical fruits
598,Pasta,NULL,Cereals and cereal products,Cereal products
599,Pastry,NULL,Confectioneries,Desserts
600,Pate,NULL,Dishes,Ground meat
601,Peach,Prunus persica,Fruits,Drupes
602,Peach (var.),Prunus persica var. persica,Fruits,Drupes
603,Peanut,Arachis hypogaea,Nuts,Nuts
604,Pear,Pyrus communis,Fruits,Pomes
605,Pecan nut,Carya illinoinensis,Nuts,Nuts
606,Pectin,NULL,Baking goods,Baking goods
607,Pepper (C. annuum),Capsicum annuum,Vegetables,Fruit vegetables
608,Pepper (C. baccatum),Capsicum baccatum var. baccatum,Vegetables,Fruit vegetables
609,Pepper (C. chinense),Capsicum chinense,Vegetables,Fruit vegetables
610,Pepper (C. frutescens),Capsicum annuum var. annuum,Vegetables,Fruit vegetables
611,Pepper (C. pubescens),Capsicum pubescens,Vegetables,Fruit vegetables
612,Pepper (Capsicum),Capsicum,Vegetables,Fruit vegetables
613,Pepper (Spice),Piper nigrum,Herbs and Spices,Spices
614,Peppermint,Mentha X piperita,Herbs and Spices,Herbs
615,Perciformes (Perch-like fishes),Perciformes,Aquatic foods,Fishes
616,Percoidei (Bass and others),Percoidei,Aquatic foods,Fishes
617,Persian lime,Citrus latifolia,Fruits,Citrus
618,Persimmon,Diospyros,Fruits,Tropical fruits
619,Pheasant,Phasianus colchicus,Animal foods,Poultry
620,Phyllo dough,NULL,Baking goods,Baking goods
621,Pie,NULL,Confectioneries,Desserts
622,Pie crust,NULL,Baking goods,Wrappers
623,Pie filling,NULL,Baking goods,Baking goods
624,Pigeon pea,Cajanus cajan,Pulses,Peas
625,Pikeperch,Sander lucioperca,Aquatic foods,Fishes
626,Piki bread,NULL,Cereals and cereal products,Flat breads
627,Pili nut,Canarium ovatum,Nuts,Nuts
628,Pine nut,Pinus,Nuts,Nuts
629,Pineapple,Ananas comosus,Fruits,Tropical fruits
630,Pineappple sage,Salvia elegans,Herbs and Spices,Herbs
631,Pink salmon,Oncorhynchus gorbuscha,Aquatic foods,Fishes
632,Pistachio,Pistacia vera,Nuts,Nuts
633,Pita bread,NULL,Cereals and cereal products,Flat breads
634,Pitanga,Eugenia uniflora,Fruits,Tropical fruits
635,Pizza,NULL,Dishes,Other dishes
636,Plains prickly pear,Opuntia macrorhiza,Fruits,Tropical fruits
637,"Pleuronectidae (Dab, Halibut, Plaice)",Pleuronectidae,Aquatic foods,Fishes
638,Polar bear,Ursus maritimus,Animal foods,Other mammals
639,Pollock,Pollachius,Aquatic foods,Fishes
640,Pomegranate,Punica granatum,Fruits,Tropical fruits
641,Pomes,NULL,Fruits,Pomes
642,Popcorn,NULL,Snack foods,Snack foods
643,Poppy,Papaver,Herbs and Spices,Oilseed crops
644,Port wine,NULL,Beverages,Fortified wines
645,Pot marjoram,Origanum onites,Herbs and Spices,Herbs
646,Pot pie,NULL,Dishes,Other dishes
647,Potato,Solanum tuberosum,Vegetables,Tubers
648,Potato bread,NULL,Cereals and cereal products,Other breads
649,Potato chip,NULL,Snack foods,Snack foods
650,Potato gratin,NULL,Dishes,Potato dishes
651,Potato puffs,NULL,Dishes,Potato dishes
652,Prairie turnip,Pediomelum esculentum,Vegetables,Root vegetables
653,Prickly pear,Opuntia,Fruits,Tropical fruits
654,Processed cheese,NULL,Milk and milk products,Fermented milk products
655,"Prunus (Cherry, Plum)",Prunus,Fruits,Drupes
656,Pudding,NULL,Confectioneries,Desserts
657,Pulses,,Pulses,Pulses
658,Pummelo,Citrus maxima,Fruits,Citrus
659,Pumpkinseed sunfish,Lepomis gibbosus,Aquatic foods,Fishes
660,Pupusa,NULL,Dishes,Latin American cuisine
661,Purple laver,Porphyra laciniata,Aquatic foods,Seaweed
662,Purple mangosteen,Garcinia mangostana,Fruits,Tropical fruits
663,Purslane,Portulaca oleracea,Herbs and Spices,Herbs
664,Quail,Phasianidae,Animal foods,Poultry
665,Quesadilla,NULL,Dishes,Mexican cuisine
666,Quince,Cydonia oblonga,Fruits,Pomes
667,Quinoa,Chenopodium quinoa,Herbs and Spices,Other seeds
668,Rabbit,Leporidae,Animal foods,Lagomorphs
669,Raccoon,Procyon lotor,Animal foods,Other mammals
670,Radish,Raphanus sativus,Vegetables,Root vegetables
671,Radish (var.),Raphanus sativus var. sativus,Vegetables,Root vegetables
672,Rainbow smelt,Osmerus mordax,Aquatic foods,Fishes
673,Rainbow trout,Oncorhynchus mykiss,Aquatic foods,Fishes
674,Raisin bread,NULL,Cereals and cereal products,Sweet breads
675,Rambutan,Nephelium lappaceum,Fruits,Tropical fruits
676,Rape,Brassica napus var. napus,Vegetables,Root vegetables
677,Rapini,Brassica ruvo,Vegetables,Cabbages
678,Ravioli,NULL,Dishes,Pasta dishes
679,Red algae,Rhodophyta,Aquatic foods,Seaweed
680,Red beetroot,Beta vulgaris var. rubra,Vegetables,Root vegetables
681,Red bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
682,Red huckleberry,Vaccinium parvifolium,Fruits,Berries
683,Red king crab,Paralithodes camtschaticus,Aquatic foods,Crustaceans
684,Red raspberry,Rubus idaeus,Fruits,Berries
685,Red rice,Oryza rufipogon,Cereals and cereal products,Cereals
686,Redcurrant,Ribes rubrum,Fruits,Berries
687,Relish,NULL,Baking goods,Condiments
688,Remoulade,NULL,Baking goods,Condiments
689,Rice,Oryza sativa,Cereals and cereal products,Cereals
690,Rice bread,NULL,Cereals and cereal products,Leavened breads
691,Rice cake,NULL,Dishes,Asian cuisine
692,Ringed seal,Pusa hispida,Aquatic foods,Pinnipeds
693,Robusta coffee,Coffea canephora,Coffee and coffee products,Coffee
694,Rock ptarmigan,Lagopus muta,Animal foods,Poultry
695,Rocket salad,Eruca vesicaria,Vegetables,Leaf vegetables
696,Rocket salad (ssp.),Eruca vesicaria ssp. sativa,Vegetables,Leaf vegetables
697,Roe,NULL,Aquatic foods,Roe
698,Romaine lettuce,Lactuca sativa L. var. longifolia,Vegetables,Leaf vegetables
699,Roman camomile,Chamaemelum nobile,Herbs and Spices,Herbs
700,Root vegetables,NULL,Vegetables,Root vegetables
701,Rose hip,Rosa,Herbs and Spices,Herbs
702,Roselle,Hibiscus sabdariffa,Herbs and Spices,Herbs
703,Rosemary,Rosmarinus officinalis,Herbs and Spices,Herbs
704,Rowal,Pangium edule,Herbs and Spices,Other seeds
705,Rowanberry,Sorbus aucuparia,Fruits,Berries
706,"Rubus (Blackberry, Raspberry)",Rubus,Fruits,Berries
707,Rum,NULL,Beverages,Distilled beverages
708,Rye,Secale cereale,Cereals and cereal products,Cereals
709,Rye bread,NULL,Cereals and cereal products,Leavened breads
710,Sablefish,Anoplopoma fimbria,Aquatic foods,Fishes
711,Sacred lotus,Nelumbo nucifera,Vegetables,Other vegetables
712,Safflower,Carthamus tinctorius,Herbs and Spices,Oilseed crops
713,Saffron,Crocus sativus,Herbs and Spices,Spices
714,Sago palm,Metroxylon sagu,Herbs and Spices,Oilseed crops
715,Sake,NULL,Beverages,Fermented beverages
716,Salad,NULL,Dishes,Other dishes
717,Salad dressing,NULL,Baking goods,Dressings
718,Salmonberry,Rubus spectabilis,Fruits,Berries
719,"Salmonidae (Salmon, Trout)",Salmonidae,Aquatic foods,Fishes
720,Salt,NULL,Baking goods,Seasonings
721,Sapodilla,Manilkara zapota,Fruits,Tropical fruits
722,Saskatoon berry,Amelanchier alnifolia,Fruits,Berries
723,Sauce,NULL,Baking goods,Sauces
724,Sausage,NULL,Dishes,Ground meat
725,Savoy cabbage,Brassica oleracea var. sabauda,Vegetables,Cabbages
726,Scallop,Pectinidae,Aquatic foods,Mollusks
727,Scarlet bean,Phaseolus coccineus,Pulses,Beans
728,"Scombridae (Bonito, Mackerel, Tuna)",Scombridae,Aquatic foods,Fishes
729,Scrapple,NULL,Dishes,American cuisine
730,Scup,Stenotomus chrysops,Aquatic foods,Fishes
731,Sea cucumber,Parastichopus californicus,Aquatic foods,Other aquatic foods
732,Sea-buckthornberry,Hippophae rhamnoides,Fruits,Berries
733,Seatrout,Cynoscion,Aquatic foods,Fishes
734,Semolina,NULL,Cereals and cereal products,Cereal products
735,Sesame,Sesamum orientale,Herbs and Spices,Oilseed crops
736,Sesbania flower,Sesbania bispinosa,Vegetables,Other vegetables
737,Shallot,Allium ascalonicum,Vegetables,Onion-family vegetables
738,Shark,Squaliformes,Aquatic foods,Fishes
739,Shea tree,Vitellaria paradoxa,Herbs and Spices,Oilseed crops
740,Sheefish,Stenodus leucichthys,Aquatic foods,Fishes
741,"Sheep (Mutton, Lamb)",Ovis aries,Animal foods,Ovis
742,Sheepshead,Archosargus probatocephalus,Aquatic foods,Fishes
743,Sherry,NULL,Beverages,Fortified wines
744,Shiitake,Lentinus edodes,Vegetables,Mushrooms
745,Shortening,NULL,Fats and oils,Vegetable fats
746,Shrimp,Caridea,Aquatic foods,Crustaceans
747,Silver linden,Tilia argentea,Herbs and Spices,Herbs
748,Skipjack tuna,Katsuwonus pelamis,Aquatic foods,Fishes
749,Skunk currant,Ribes glandulosum,Fruits,Berries
750,Small-leaf linden,Tilia cordata,Herbs and Spices,Herbs
751,Smelt,Osmeridae,Aquatic foods,Fishes
752,Snack bar,NULL,Snack foods,Snack foods
753,Snail,Gastropoda,Aquatic foods,Mollusks
754,Snapper,Lutjanidae,Aquatic foods,Fishes
755,Snow crab,Chionoecetes opilio,Aquatic foods,Crustaceans
756,Sockeye salmon,Oncorhynchus nerka,Aquatic foods,Fishes
757,Soft drink,NULL,Beverages,Other beverages
758,Soft-necked garlic,Allium sativum L. var. sativum,Herbs and Spices,Herbs
759,Sorghum,Sorghum bicolor,Cereals and cereal products,Cereals
760,Sorrel,Rumex acetosa,Herbs and Spices,Herbs
761,Soup,NULL,Dishes,Other dishes
762,Sour cherry,Prunus cerasus,Fruits,Drupes
763,Sourdock,Rumex articus,Herbs and Spices,Herbs
764,Sourdough,NULL,Cereals and cereal products,Doughs
765,Soursop,Annona muricata,Fruits,Tropical fruits
766,Soy bean,Glycine max,Soy,Soy
767,Soy cream,NULL,Soy,Soy products
768,Soy milk,NULL,Soy,Soy products
769,Soy sauce,NULL,Soy,Soy products
770,Soy yogurt,NULL,Soy,Soy products
771,Spanish mackerel,Scomberomorus maculatus,Aquatic foods,Fishes
772,Sparkleberry,Vaccinium arboreum,Fruits,Berries
773,Spearmint,Mentha spicata,Herbs and Spices,Herbs
774,Spelt,Triticum spelta,Cereals and cereal products,Cereals
775,Spinach,Spinacia oleracea,Vegetables,Leaf vegetables
776,Spiny dogfish,Squalus acanthias,Aquatic foods,Fishes
777,Spiny lobster,Palinuridae,Aquatic foods,Crustaceans
778,Spirit,NULL,Beverages,Distilled beverages
779,Spirulina,Spirulina,Aquatic foods,Seaweed
780,Spot croaker,Leiostomus xanthurus,Aquatic foods,Fishes
781,Spotted seal,Phoca largha,Aquatic foods,Pinnipeds
782,Spread,NULL,Baking goods,Baking goods
783,Squab,Columba,Animal foods,Poultry
784,Squashberry,Viburnum edule,Fruits,Berries
785,Squid,Teuthida,Aquatic foods,Mollusks
786,Squirrel,Sciuridae,Animal foods,Rodents
787,Star anise,Illicium verum,Herbs and Spices,Spices
788,Star fruit,Averrhoa carambola,Fruits,Tropical fruits
789,Steller sea lion,Eumetopias jubatus,Aquatic foods,Pinnipeds
790,Stew,NULL,Dishes,Other dishes
791,Strawberry,Fragaria X ananassa,Fruits,Berries
792,Strawberry guava,Psidium cattleianum,Fruits,Berries
793,Striped bass,Morone saxatilis,Aquatic foods,Fishes
794,Striped mullet,Mugil cephalus,Aquatic foods,Fishes
795,Stuffing,NULL,Baking goods,Baking goods
796,Sturgeon,Acipenseridae,Aquatic foods,Fishes
797,Succotash,NULL,Dishes,American cuisine
798,Sugar,NULL,Baking goods,Sugars
799,Sugar apple,Annona squamosa,Fruits,Tropical fruits
800,Sugar substitute,NULL,Baking goods,Substitutes
801,Summer grape,Vitis aestivalis,Fruits,Berries
802,Summer savory,Satureja hortensis,Herbs and Spices,Herbs
803,Sunburst squash (pattypan squash),Cucurbita pepo var. clypeata,Gourds,Gourds
804,Sunflower,Helianthus annuus,Herbs and Spices,Oilseed crops
805,Swamp cabbage,Ipomoea aquatica,Vegetables,Leaf vegetables
806,Swede,Brassica napus,Vegetables,Root vegetables
807,Sweet basil,Ocimum basilicum,Herbs and Spices,Herbs
808,Sweet bay,Laurus nobilis,Herbs and Spices,Herbs
809,Sweet cherry,Prunus avium,Fruits,Drupes
810,Sweet custard,NULL,Confectioneries,Milk desserts
811,Sweet marjoram,Origanum majorana,Herbs and Spices,Herbs
812,Sweet orange,Citrus sinensis,Fruits,Citrus
813,Sweet potato,Ipomoea batatas,Vegetables,Tubers
814,Sweet rowanberry,Grataegosorbus mitschurinii,Fruits,Berries
815,Swiss chard,Beta vulgaris ssp. cicla,Vegetables,Leaf vegetables
816,Swordfish,Xiphias gladius,Aquatic foods,Fishes
817,Syrup,NULL,Baking goods,Baking goods
818,Taco,NULL,Dishes,Tex-Mex cuisine
819,Tallow,NULL,Fats and oils,Animal fats
820,Tamale,NULL,Dishes,Latin American cuisine
821,Tamarind,Tamarindus indica,Fruits,Tropical fruits
822,Tapioca pearl,NULL,Baking goods,Baking goods
823,Taro,Colocasia esculenta,Vegetables,Root vegetables
824,Tarragon,Artemisia dracunculus,Herbs and Spices,Herbs
825,Tartary buckwheat,Fagopyrum tataricum,Cereals and cereal products,Cereals
826,Tea,Camellia sinensis,Teas,Teas
827,Tea leaf willow,Salix pulchra,Herbs and Spices,Herbs
828,Teff,Eragrostis tef,Herbs and Spices,Herbs
829,Thistle,Cirsium,Vegetables,Root vegetables
830,Thunnus (Common tuna),Thunnus,Aquatic foods,Fishes
831,Tilefish,Lopholatilus chamaeleonticeps,Aquatic foods,Fishes
832,Tinda,Citrullus lanatus var. fistulosus,Gourds,Gourds
833,Toffee,NULL,Confectioneries,Other confectioneries
834,Tofu,NULL,Soy,Soy products
835,Topping,NULL,Baking goods,Baking goods
836,Tortilla,NULL,Cereals and cereal products,Flat breads
837,Tortilla chip,NULL,Snack foods,Snack foods
838,Tostada,NULL,Dishes,Mexican cuisine
839,Towel gourd,Luffa aegyptiaca,Gourds,Gourds
840,Trail mix,NULL,Snack foods,Snack foods
841,Tree fern,Cyathea,Vegetables,Other vegetables
842,Triticale,X Triticosecale rimpaui,Cereals and cereal products,Cereals
843,Tronchuda cabbage,Brassica oleracea var. costata,Vegetables,Cabbages
844,True frog,Ranidae,Aquatic foods,Amphibians
845,True oyster,Ostreidae,Aquatic foods,Mollusks
846,True seal,Phocidae,Aquatic foods,Pinnipeds
847,True sole,Soleidae,Aquatic foods,Fishes
848,Tunicate,Tunicata,Aquatic foods,Other aquatic foods
849,Turbot,Scophthalmus maximus,Aquatic foods,Fishes
850,Turkey,Meleagris gallopavo,Animal foods,Poultry
851,Turmeric,Curcuma longa,Herbs and Spices,Spices
852,Turnip,Brassica rapa var. rapa,Herbs and Spices,Herbs
853,Ucuhuba,Virola surinamensis,Herbs and Spices,Oilseed crops
854,Unclassified food or beverage,NULL,Unclassified,Unclassified
855,"Vaccinium (Blueberry, Cranberry, Huckleberry)",Vaccinium,Fruits,Berries
856,Vanilla,Vanilla,Herbs and Spices,Spices
857,Vegetable juice,NULL,Beverages,Other beverages
858,Vegetarian food,NULL,Dishes,Other dishes
859,Veggie burger,NULL,Dishes,Sandwiches
860,Velvet duck,Melanitta fusca,Animal foods,Poultry
861,Vermouth,NULL,Beverages,Fortified wines
862,Vinegar,NULL,Baking goods,Seasonings
863,Vodka,NULL,Beverages,Distilled beverages
864,Waffle,NULL,Dishes,Other dishes
865,Wakame,Undaria pinnatifida,Aquatic foods,Seaweed
866,Walleye,Sander vitreus,Aquatic foods,Fishes
867,Walnut,Juglans,Nuts,Nuts
868,Walrus,Odobenus rosmarus,Aquatic foods,Pinnipeds
869,Wasabi,Wasabia japonica,Herbs and Spices,Spices
870,Water,NULL,Beverages,Waters
871,Watercress,Rorippa nasturtium-aquaticum,Herbs and Spices,Herbs
872,Watermelon,Citrullus lanatus,Gourds,Gourds
873,Wax apple,Eugenia,Fruits,Tropical fruits
874,Wax gourd,Benincasa hispida,Gourds,Gourds
875,Welsh onion,Allium fistulosum,Herbs and Spices,Herbs
876,Wheat,Triticum,Cereals and cereal products,Cereals
877,Wheat bread,NULL,Cereals and cereal products,Leavened breads
878,Whelk,Buccinidae,Aquatic foods,Mollusks
879,Whey,NULL,Milk and milk products,Other milk products
880,Whisky,NULL,Beverages,Distilled beverages
881,White cabbage,Brassica oleracea L. var. capitata L. f. alba DC.,Vegetables,Cabbages
882,White lupine,Lupinus albus,Pulses,Other pulses
883,White mustard,Sinapis alba,Herbs and Spices,Spices
884,White sucker,Catostomus commersonii,Aquatic foods,Fishes
885,Whitefish,Coregonus,Aquatic foods,Fishes
886,Whiting,Merlangius merlangus,Aquatic foods,Fishes
887,Wild boar,Sus scrofa,Animal foods,Swine
888,Wild carrot,Daucus carota,Vegetables,Root vegetables
889,Wild celery,Apium graveolens,Herbs and Spices,Spices
890,Wild leek,Allium ampeloprasum,Vegetables,Onion-family vegetables
891,Wild rice,Zizania,Cereals and cereal products,Cereals
892,Winged bean,Psophocarpus tetragonolobus,Pulses,Beans
893,Winter savory,Satureja montana,Herbs and Spices,Herbs
894,Winter squash,Cucurbita maxima,Gourds,Gourds
895,Wonton wrapper,NULL,Baking goods,Wrappers
896,Yam,Dioscorea,Vegetables,Tubers
897,Yardlong bean,Vigna unguiculata ssp. sesquipedalis,Pulses,Peas
898,Yautia,Xanthosoma sagittifolium,Vegetables,Leaf vegetables
899,Yellow bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
900,Yellow pond-lily,Nuphar lutea,Herbs and Spices,Herbs
901,Yellow wax bean,Phaseolus vulgaris,Pulses,Beans
902,Yellow zucchini,Cucurbita pepo var. cylindrica,Gourds,Gourds
903,Yellowfin tuna,Thunnus albacares,Aquatic foods,Fishes
904,Yellowtail amberjack,Seriola lalandi,Aquatic foods,Fishes
905,Ymer,NULL,Milk and milk products,Fermented milk products
906,Yogurt,NULL,Milk and milk products,Fermented milk products
907,Zwieback,NULL,Cereals and cereal products,Leavened breads
